City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1819729,Hong Kong,82,HK,1631426338,70,22.2855,114.1577,95.05,10.6
3450083,Santa Maria,0,BR,1631426153,94,-29.6842,-53.8069,53.62,5.57
5530921,Franklin Center,1,US,1631426395,43,32.7298,-101.0315,75.61,12.66
519062,Novoanninskiy,100,RU,1631426396,45,50.5287,42.6747,64.45,6.06
4361831,Maryland City,1,US,1631426397,86,39.092,-76.8177,69.17,1.01
3387115,Casinhas,55,BR,1631426398,95,-7.7447,-35.7251,70.79,5.61
3448332,São Pedro do Sul,0,BR,1631426401,91,-29.6206,-54.1789,53.31,5.26
5388735,Rosamond,0,US,1631426406,35,34.8641,-118.1634,82.24,1.99
5745380,Pendleton,58,US,1631426235,70,45.6721,-118.7886,64.74,4.21
5222680,Hopkinton,0,US,1631426407,85,41.4612,-71.7776,70.52,8.75
2639320,Ripponden,98,GB,1631426408,91,53.6745,-1.9418,56.35,1.01
1257629,Salem,40,IN,1631426392,61,11.65,78.1667,84.4,5.75
1015776,Bredasdorp,96,ZA,1631426246,93,-34.5322,20.0403,47.52,3.44
3598804,Chajul,100,GT,1631426411,99,15.4853,-91.0342,58.23,2.08
3995050,Nava,0,MX,1631426221,30,28.4167,-100.7667,75.99,6.78
2970775,Arrondissement de Vannes,87,FR,1631426413,92,47.8333,-2.5,56.01,4.92
4017154,Francisco I. Madero,3,MX,1631426414,45,29.7059,-107.8043,59.52,4.81
2748413,Purmerend,100,NL,1631426116,95,52.505,4.9597,60.82,5.01
1270393,Hāpur,98,IN,1631426309,71,28.7167,77.7833,84.36,10.09
4989133,Charter Township of Clinton,45,US,1631426416,77,42.587,-82.9199,74.17,1.01
1608231,Ban Duea,79,LA,1631426417,63,17.994,102.9296,93.29,5.44
5220221,Wyndmoor,1,US,1631426419,83,40.0812,-75.1893,66.79,1.99
7872058,Pasching,75,AT,1631426420,89,48.2586,14.2042,63.46,3.44
4653999,Rockwood,0,US,1631426421,98,35.8656,-84.6849,67.37,3.38
5251040,Dunn,89,US,1631426422,83,44.95,-91.8835,61.68,5.75
2878313,Leutenbach,35,DE,1631426424,90,48.8879,9.3927,59.38,1.45
1170880,Mardan,54,PK,1631426191,55,34.2019,72.0525,84.74,1.72
